Tid (h);Konc. Norm (g/l) 
0;1
0.002777778;0.98352928
0.005555556;0.967395269
0.008333333;0.95252392
0.011111111;0.92519431
0.013888889;0.897275457
0.016666667;0.887959819
0.019444444;0.872723702
0.022222222;0.859311428
0.025;0.847835237
0.027777778;0.826482225
0.030555556;0.81607228
0.033333333;0.803754314
0.036111111;0.793821375
0.038888889;0.780661635
0.041666667;0.771233761
0.044444444;0.756250175
0.047222222;0.748421673
0.05;0.733662561
0.052777778;0.725946295
0.055555556;0.717051545
0.058333333;0.710822414
0.061111111;0.700749179
0.063888889;0.68854345
0.066666667;0.683829513
0.069444444;0.673531805
0.072222222;0.6644687
0.075;0.662139791
0.077777778;0.650803895
0.080555556;0.638401751
0.083333333;0.635371363
0.086111111;0.627627038
0.088888889;0.623362047
0.091666667;0.618227223
0.094444444;0.613148517
0.097222222;0.609472769
0.1;0.604871068
0.102777778;0.596453324
0.105555556;0.591879682
0.108333333;0.586941272
0.111111111;0.584359831
0.113888889;0.580179017
0.116666667;0.573192289
0.119444444;0.57086338
0.122222222;0.565363787
0.125;0.560593732
0.127777778;0.556637392
0.130555556;0.550885266
0.133333333;0.545890738
0.136111111;0.543000645
0.138888889;0.540980387
0.141666667;0.536098095
0.144444444;0.5319734
0.147222222;0.529700609
0.15;0.525519796
0.152777778;0.520328853
0.155555556;0.515614916
0.158333333;0.512107523
0.161111111;0.508712366
0.163888889;0.503802015
0.166666667;0.500911922
0.169444444;0.496226045
0.172222222;0.49274671
0.175;0.489996913
0.177777778;0.487611886
0.180555556;0.485311036
0.183333333;0.481607228
0.186111111;0.478492663
0.188888889;0.475434215
0.191666667;0.473273661
0.194444444;0.470074918
0.197222222;0.467156766
0.2;0.46538904
0.202777778;0.463677432
0.205555556;0.461180168
0.208333333;0.458262016
0.211111111;0.456129521
0.213888889;0.453435843
0.216666667;0.451134993
0.219444444;0.448469373
0.222222222;0.446561351
0.225;0.444484974
0.227777778;0.442184124
0.230555556;0.440107747
0.233333333;0.438115548
0.236111111;0.435281574
0.238888889;0.433008783
0.241666667;0.431241056
0.244444444;0.429529448
0.247222222;0.427930077
0.25;0.425993995
0.252777778;0.424114032
0.255555556;0.422290188
0.258333333;0.420269929
0.261111111;0.418670558
0.263888889;0.417127304
0.266666667;0.415752406
0.269444444;0.41429333
0.272222222;0.412469486
0.275;0.411234883
0.277777778;0.409916103
0.280555556;0.408148377
0.283333333;0.40640871
0.286111111;0.404640983
0.288888889;0.402592665
0.291666667;0.400993294
0.294444444;0.399029153
0.297222222;0.397542019
0.3;0.395577878
0.302777778;0.393277028
0.305555556;0.391705716
0.308333333;0.39024664
0.311111111;0.388703387
0.313888889;0.387216252
0.316666667;0.385672999
