Tid (h);Norm konc. 5
0;1
0.002777778;0.988747379
0.005555556;0.972789116
0.008333333;0.971356964
0.011111111;0.978415426
0.013888889;0.96046238
0.016666667;0.945833973
0.019444444;0.937803693
0.022222222;0.912792185
0.025;0.904352719
0.027777778;0.892384021
0.030555556;0.862001944
0.033333333;0.84220756
0.036111111;0.835609432
0.038888889;0.82824408
0.041666667;0.815303565
0.044444444;0.811262851
0.047222222;0.796276405
0.05;0.796583295
0.052777778;0.785893305
0.055555556;0.770651118
0.058333333;0.757659455
0.061111111;0.743031047
0.063888889;0.738223109
0.066666667;0.73254565
0.069444444;0.716843128
0.072222222;0.711114521
0.075;0.708199069
0.077777778;0.702879648
0.080555556;0.691729323
0.083333333;0.687279423
0.086111111;0.676947471
0.088888889;0.663955808
0.091666667;0.660784615
0.094444444;0.656437011
0.097222222;0.648253286
0.1;0.638483965
0.102777778;0.629174978
0.105555556;0.627129047
0.108333333;0.617768912
0.111111111;0.614955757
0.113888889;0.611119636
0.116666667;0.609840929
0.119444444;0.606209401
0.122222222;0.602577873
0.125;0.596030894
0.127777778;0.586875352
0.130555556;0.579049665
0.133333333;0.579049665
0.136111111;0.566620633
0.138888889;0.563551736
0.141666667;0.557976574
0.144444444;0.551429594
0.147222222;0.550304332
0.15;0.545496394
0.152777778;0.539460897
0.155555556;0.540381566
0.158333333;0.541557977
0.161111111;0.530203059
0.163888889;0.533476549
0.166666667;0.518950437
0.169444444;0.512659199
0.172222222;0.506930592
0.175;0.502685285
0.177777778;0.50104854
0.180555556;0.495626822
0.183333333;0.489642474
0.186111111;0.483402384
0.188888889;0.480793821
0.191666667;0.479157076
0.194444444;0.477213442
0.197222222;0.473019283
0.2;0.467853307
0.202777778;0.464630965
0.205555556;0.461613217
0.208333333;0.459618434
0.211111111;0.457009872
0.213888889;0.453071454
0.216666667;0.449593371
0.219444444;0.446677919
0.222222222;0.444938878
0.225;0.442944095
0.227777778;0.441358498
0.230555556;0.43864764
0.233333333;0.440284384
0.236111111;0.434658074
0.238888889;0.432458698
0.241666667;0.430515063
0.244444444;0.428059946
0.247222222;0.425911718
0.25;0.424888752
0.252777778;0.421001483
0.255555556;0.423303156
0.258333333;0.41276661
0.261111111;0.410618383
0.263888889;0.407344893
0.266666667;0.406168482
0.269444444;0.403150734
0.272222222;0.401718582
0.275;0.399468058
0.277777778;0.402178917
0.280555556;0.393892896
0.283333333;0.391795816
0.286111111;0.389545292
0.288888889;0.393534858
0.291666667;0.386732136
0.294444444;0.38335635
0.297222222;0.382691422
0.3;0.388266585
0.302777778;0.379520229
0.305555556;0.376911667
0.308333333;0.374303105
0.311111111;0.389136106
0.313888889;0.385248836
0.316666667;0.382691422
0.319444444;0.380645491
0.322222222;0.378753005
0.325;0.376144443
0.327777778;0.373791622
0.330555556;0.371847987
0.333333333;0.369955501
0.336111111;0.367858422
0.338888889;0.365659046
0.341666667;0.363408521
0.344444444;0.362948187
